epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.43783,1.06321,3.43684,1.22369,0.57533,0.85,0.87734,0.63464,1.66715,1.06961,1.38576,0,0,0
2,17.1879,1.52346,2.50659,1.72807,0.58198,0.85,0.84748,0.63282,1.66222,1.05764,1.38276,1.17822e-06,1.17822e-06,1.17822e-06
3,24.1729,1.30809,2.24708,1.84981,0.57698,0.85,0.84867,0.63544,1.67437,1.05532,1.38373,2.33288e-06,2.33288e-06,2.33288e-06
4,30.7358,1.72415,2.98383,1.89115,0.57563,0.85,0.8505,0.6361,1.6809,1.0496,1.3808,3.46397e-06,3.46397e-06,3.46397e-06
5,37.0901,1.36497,3.15488,1.67384,0.61742,0.92262,0.90478,0.64242,1.67873,1.04633,1.37594,4.5715e-06,4.5715e-06,4.5715e-06
6,43.5904,1.53528,4.11805,1.91976,0.55883,0.85,0.85624,0.63746,1.64499,1.04267,1.35433,5.65548e-06,5.65548e-06,5.65548e-06
7,50.022,1.11688,1.91904,1.31367,0.57159,0.85,0.85749,0.62942,1.65401,1.04284,1.35898,6.71588e-06,6.71588e-06,6.71588e-06
8,56.5461,0.97072,2.97744,1.34039,0.56097,0.85,0.85926,0.63054,1.6524,1.05284,1.35985,7.75273e-06,7.75273e-06,7.75273e-06
9,62.9601,1.12253,2.37334,1.39173,0.58962,0.8631,0.8603,0.62964,1.63232,1.04517,1.34844,8.76602e-06,8.76602e-06,8.76602e-06
10,69.4118,1.16905,2.38601,1.61639,0.57869,0.86667,0.89572,0.63372,1.62142,1.0397,1.34199,9.75574e-06,9.75574e-06,9.75574e-06
11,75.8583,1.11825,1.92604,1.34662,0.55286,0.86667,0.89549,0.64194,1.61861,1.04467,1.34096,1.07219e-05,1.07219e-05,1.07219e-05
12,82.3584,0.96815,1.94069,1.32635,0.57632,0.86667,0.85505,0.6328,1.60756,1.05884,1.33486,1.16645e-05,1.16645e-05,1.16645e-05
13,88.7386,1.03691,3.10329,1.3981,0.6364,0.94019,0.91255,0.65211,1.61622,1.07185,1.3373,1.25835e-05,1.25835e-05,1.25835e-05
14,95.114,1.02309,2.57253,1.4313,0.65433,0.93901,0.91348,0.65298,1.61745,1.08423,1.33737,1.3479e-05,1.3479e-05,1.3479e-05
15,101.624,1.21278,2.35326,1.39409,0.63721,0.93658,0.9122,0.64654,1.61118,1.08536,1.33998,1.43509e-05,1.43509e-05,1.43509e-05
16,107.936,1.06139,1.86776,1.3639,0.64205,0.9379,0.91236,0.64263,1.59463,1.09394,1.33684,1.51993e-05,1.51993e-05,1.51993e-05
17,114.614,0.89686,1.57002,1.21765,0.6589,0.93855,0.91439,0.64315,1.5979,1.10216,1.34091,1.60241e-05,1.60241e-05,1.60241e-05
18,120.971,0.99081,1.779,1.3823,0.6589,0.93855,0.91439,0.64315,1.5979,1.10216,1.34091,1.68253e-05,1.68253e-05,1.68253e-05
19,127.488,0.92665,1.39688,1.21427,0.86372,0.63211,0.87339,0.64079,1.62363,1.12629,1.35489,1.7603e-05,1.7603e-05,1.7603e-05
20,133.826,0.78919,1.67558,1.23038,0.86372,0.63211,0.87339,0.64079,1.62363,1.12629,1.35489,1.83571e-05,1.83571e-05,1.83571e-05
21,140.18,0.88501,1.8778,1.31826,0.86747,0.63177,0.85499,0.63932,1.6151,1.1546,1.3524,1.90876e-05,1.90876e-05,1.90876e-05
22,146.454,0.80784,1.5911,1.12496,0.86747,0.63177,0.85499,0.63932,1.6151,1.1546,1.3524,1.97946e-05,1.97946e-05,1.97946e-05
23,152.876,1.10301,2.24162,1.3804,0.86675,0.63298,0.88077,0.63983,1.61781,1.17796,1.35488,2.0478e-05,2.0478e-05,2.0478e-05
24,159.093,1.04943,2.36507,1.45904,0.86675,0.63298,0.88077,0.63983,1.61781,1.17796,1.35488,2.11379e-05,2.11379e-05,2.11379e-05
25,165.438,0.74247,1.69986,1.12894,0.86416,0.65,0.85536,0.62909,1.63525,1.2302,1.36225,2.17741e-05,2.17741e-05,2.17741e-05
26,171.8,0.87014,1.5503,1.15693,0.86416,0.65,0.85536,0.62909,1.63525,1.2302,1.36225,2.23869e-05,2.23869e-05,2.23869e-05
27,178.156,0.94788,1.59764,1.34894,0.83809,0.65,0.85527,0.63528,1.63179,1.27098,1.36171,2.2976e-05,2.2976e-05,2.2976e-05
28,184.362,1.10192,1.63816,1.49582,0.83809,0.65,0.85527,0.63528,1.63179,1.27098,1.36171,2.35417e-05,2.35417e-05,2.35417e-05
29,190.594,1.02934,1.37965,1.37436,0.79851,0.65,0.85243,0.60222,1.64056,1.32736,1.37047,2.40837e-05,2.40837e-05,2.40837e-05
30,196.877,1.30416,2.72317,1.69249,0.79851,0.65,0.85243,0.60222,1.64056,1.32736,1.37047,2.46022e-05,2.46022e-05,2.46022e-05
31,203.962,0.77617,1.38283,1.25623,0.79827,0.65,0.84926,0.61529,1.64258,1.36608,1.37052,2.50971e-05,2.50971e-05,2.50971e-05
32,210.183,0.80061,1.19043,1.11912,0.79827,0.65,0.84926,0.61529,1.64258,1.36608,1.37052,2.55685e-05,2.55685e-05,2.55685e-05
